# Bluetti AC70 register map
# Source: https://github.com/Patrick762/bluetti-bt-lib (bluetti_bt_lib/devices/ac70.py)
#
# field_name is a standard Bluetti register name — the code maps these to
# SignalK paths on its own (see lib/path-mapper.js). signalk_path is an
# override, only needed if you're exposing a register the code doesn't
# recognise. constant_value is for fixed, non-register facts about this model
# (register_address left blank for those rows). No verified nominal capacity
# (Wh) is bundled — add a total_capacity constant row yourself if you know it,
# to enable the derived remaining-capacity calculation.
#
field_name,register_address,register_count,data_type,scale,offset,unit,signalk_path,constant_value
dc_output_power,140,1,uint16,1,0,W,,
ac_output_power,142,1,uint16,1,0,W,,
dc_input_power,144,1,uint16,1,0,W,,
ac_input_power,146,1,uint16,1,0,W,,
time_remaining_minutes,104,1,uint16,6,0,min,,
dc_input_voltage,1213,1,uint16,0.1,0,V,,
dc_input_current,1214,1,uint16,0.1,0,A,,
ac_input_frequency,1300,1,uint16,0.1,0,Hz,,
ac_input_voltage,1314,1,uint16,0.1,0,V,,
ac_input_current,1315,1,uint16,0.1,0,A,,
ac_output_frequency,1500,1,uint16,0.1,0,Hz,,
ac_output_voltage,1511,1,uint16,0.1,0,V,,
# ── Fixed model facts ────────────────────────────────────────────────────────
battery_chemistry,,,,,,,,LiFePO4
battery_manufacturer_name,,,,,,,,Bluetti
battery_manufacturer_model,,,,,,,,AC70
