# Bluetti EP760 register map
# Source: https://github.com/Patrick762/bluetti-bt-lib (bluetti_bt_lib/devices/ep760.py)
# Single-phase home-backup inverter.
#
# field_name is a standard Bluetti register name — the code maps these to
# SignalK paths on its own (see lib/path-mapper.js). signalk_path is an
# override, only needed if you're exposing a register the code doesn't
# recognise. constant_value is for fixed, non-register facts about this model
# (register_address left blank for those rows). No verified nominal capacity
# (Wh) is bundled — add a total_capacity constant row yourself if you know it,
# to enable the derived remaining-capacity calculation.
#
field_name,register_address,register_count,data_type,scale,offset,unit,signalk_path,constant_value
battery_soc,102,1,uint16,1,0,%,,
dc_input_power,1212,1,uint16,1,0,W,,
dc_input_voltage,1213,1,uint16,0.1,0,V,,
dc_input_current,1214,1,uint16,0.1,0,A,,
sm_p1_power,1228,1,uint16,1,0,W,,
sm_p1_voltage,1229,1,uint16,0.1,0,V,,
sm_p1_current,1230,1,uint16,1,0,A,,
ac_input_frequency,1300,1,uint16,0.1,0,Hz,,
ac_input_power,1313,1,uint16,1,0,W,,
ac_input_voltage,1314,1,uint16,0.1,0,V,,
ac_input_current,1315,1,uint16,0.1,0,A,,
ac_output_frequency,1500,1,uint16,0.1,0,Hz,,
ac_output_power,1510,1,uint16,1,0,W,,
ac_output_voltage,1511,1,uint16,0.1,0,V,,
ac_output_current,1512,1,uint16,0.1,0,A,,
# ── Fixed model facts ────────────────────────────────────────────────────────
battery_chemistry,,,,,,,,LiFePO4
battery_manufacturer_name,,,,,,,,Bluetti
battery_manufacturer_model,,,,,,,,EP760
